time,tot_INT,tot_IE,tot_IMS,tot_reduced,num_INT,num_IE,num_IMS,num_INT_IE,num_INT_IMS,num_IE_IMS
2.0,900.4853270684881,2788.467452901617,699.0693896555047,76.98698160069894,1391,2393,362,145,1,0
3.0,876.4712193188554,2710.9944153443184,699.0693896555047,178.47412690763102,1388,2303,362,221,1,0
4.0,846.8883271866391,2629.5635166499655,698.5800865954884,289.9772207942189,1308,2145,362,371,1,0
0.0,845.4616184460077,2977.0872610204747,705.6975159288074,0.0,1381,2543,362,5,1,0
1.0,900.653223474385,2921.8956559920944,705.6975159288074,0.0,1381,2543,362,5,1,0
2.0,900.3939277343022,2843.315105747309,705.6975159288074,78.83984598487135,1421,2346,362,162,1,0
3.0,889.7101771413827,2752.6393576764967,705.6975159288074,180.19934464860447,1411,2245,362,258,1,0
4.0,856.826465551509,2665.777416490164,704.7787669132665,300.86374644035186,1351,2076,362,406,1,0
0.0,878.7003744699933,2974.5871104252233,701.9589161995766,0.0,1381,2543,362,5,1,0
1.0,933.7387185776377,2919.5487663175804,701.9589161995766,0.0,1381,2543,362,5,1,0
2.0,930.9378842263175,2835.393618649957,701.6440516923077,87.27084652621257,1408,2355,362,166,1,0
3.0,908.386822436495,2734.676092459155,701.6440516923077,210.53943450683528,1420,2153,362,344,1,0
4.0,867.3426739134085,2650.93319035428,700.5626376779373,336.4078991491668,1345,2041,362,445,1,0
4.0,868.0901651597255,2649.927032082921,700.5626376779373,336.6665661742089,1142,1927,360,551,3,0
0.0,874.3091410479452,2956.024769511361,692.8506535980097,0.0,1381,2543,362,5,1,0
1.0,920.745969126669,2909.5879414326323,692.8506535980097,0.0,1381,2543,362,5,1,0
2.0,924.3193481466944,2825.7403208880614,692.8506535980097,80.27424152454704,1392,2411,362,126,1,0
3.0,905.8430251230653,2740.115215445386,692.8506535980097,184.37566999085223,1382,2291,362,238,1,0
4.0,862.368930980457,2668.1222055121493,692.8506535980097,299.8427740666964,1304,2203,362,322,1,0
0.0,852.2266299373061,2972.990370076187,704.1323085440464,0.0,1381,2543,362,5,1,0
1.0,897.7454145797826,2927.471585433709,704.1323085440464,0.0,1381,2543,362,5,1,0
2.0,888.3492394445667,2849.5695961334654,704.1323085440464,87.29816443545437,1382,2461,362,86,1,0
3.0,852.6155200735046,2775.270415748119,704.1323085440464,197.3310641918616,1369,2348,362,197,1,0
4.0,810.2801499539737,2706.3904938741503,703.7011902164011,308.97747451300603,1293,2257,362,286,1,0
0.0,862.3508547703666,2915.4949996509176,698.6858060908341,0.0,1382,2543,362,4,1,0
1.0,896.8996968138824,2880.946157607401,698.6858060908341,0.0,1382,2543,362,4,1,0
2.0,887.5377793011501,2805.4656699387306,698.6858060908341,84.84240518139916,1382,2481,362,66,1,0
3.0,867.4661422268969,2726.4695075856125,698.6858060908341,183.91020460876626,1382,2274,362,252,1,0
